SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 0:00,24.8,-52.6, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 3:00,25.4499,-53.3008, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 6:00,26.1,-54, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 9:00,26.7995,-54.6508, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 12:00,27.5,-55.3, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 15:00,28.1726,-56.0225, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 18:00,28.8,-56.7, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,10/08/2000 21:00,29.3571,-57.2535, ,HU,67
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 0:00,29.9,-57.7, ,HU,70
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 3:00,30.4999,-58.11, ,HU,72
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 6:00,31.1,-58.4, ,HU,75
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 9:00,31.6573,-58.5604, ,HU,77
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 12:00,32.2,-58.6, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 15:00,32.7574,-58.6023, ,HU,82
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 18:00,33.3,-58.5, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,11/08/2000 21:00,33.822,-58.3394, ,HU,87
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 0:00,34.3,-58, ,HU,90
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 3:00,34.7153,-57.4174, ,HU,95
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 6:00,35.1,-56.7, ,HU,100
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 9:00,35.4921,-56.0141, ,HU,105
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 12:00,35.9,-55.3, ,HU,110
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 15:00,36.3642,-54.5798, ,HU,110
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 18:00,36.8,-53.8, ,HU,110
2000217N11342,2000,NA,NA,ALBERTO,12/08/2000 21:00,37.1225,-52.9139, ,HU,107
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 0:00,37.4,-52, ,HU,105
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 3:00,37.7137,-51.1645, ,HU,100
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 6:00,38,-50.3, ,HU,95
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 9:00,38.2147,-49.3216, ,HU,90
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 12:00,38.4,-48.3, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 15:00,38.6139,-47.3075, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 18:00,38.8,-46.3, ,HU,75
2000217N11342,2000,NA,NA,ALBERTO,13/08/2000 21:00,38.9219,-45.2495, ,HU,70
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 0:00,39,-44.2, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 3:00,39.0647,-43.1624, ,HU,62
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 6:00,39.1,-42.2, ,TS,60
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 9:00,39.1067,-41.3472, ,TS,57
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 12:00,39.1,-40.6, ,TS,55
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 15:00,39.1148,-39.8903, ,TS,52
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 18:00,39.1,-39.3, ,TS,50
2000217N11342,2000,NA,NA,ALBERTO,14/08/2000 21:00,39.0448,-38.8023, ,TS,47
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 0:00,38.9,-38.5, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 3:00,38.6598,-38.4404, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 6:00,38.3,-38.5, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 9:00,37.8074,-38.4695, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 12:00,37.3,-38.5, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 15:00,36.9125,-38.6627, ,TS,42
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 18:00,36.6,-38.9, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,15/08/2000 21:00,36.3498,-39.1194, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 0:00,36.1,-39.4, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 3:00,35.7723,-39.7547, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 6:00,35.4,-40.2, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 9:00,35,-40.7276, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 12:00,34.6,-41.3, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 15:00,34.2273,-41.8497, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 18:00,33.9,-42.4, ,TS,40
2000217N11342,2000,NA,NA,ALBERTO,16/08/2000 21:00,33.6276,-42.9797, ,TS,42
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 0:00,33.4,-43.5, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 3:00,33.1621,-43.8798, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 6:00,33,-44.2, ,TS,45
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 9:00,32.9698,-44.5347, ,TS,47
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 12:00,33,-44.9, ,TS,50
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 15:00,32.9851,-45.3502, ,TS,50
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 18:00,33,-45.8, ,TS,50
2000217N11342,2000,NA,NA,ALBERTO,17/08/2000 21:00,33.0698,-46.1725, ,TS,52
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 0:00,33.2,-46.5, ,TS,55
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 3:00,33.3699,-46.8151, ,TS,55
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 6:00,33.6,-47.1, ,TS,55
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 9:00,33.8924,-47.365, ,TS,57
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 12:00,34.2,-47.6, ,TS,60
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 15:00,34.48,-47.83, ,TS,62
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 18:00,34.7,-48, ,HU,65
2000217N11342,2000,NA,NA,ALBERTO,18/08/2000 21:00,34.8074,-48.0727, ,HU,70
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 0:00,34.9,-48.1, ,HU,75
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 3:00,35.0925,-48.1574, ,HU,77
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 6:00,35.3,-48.2, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 9:00,35.45,-48.2076, ,HU,82
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 12:00,35.6,-48.2, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 15:00,35.7925,-48.2074, ,HU,87
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 18:00,36,-48.2, ,HU,90
2000217N11342,2000,NA,NA,ALBERTO,19/08/2000 21:00,36.2075,-48.1575, ,HU,90
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 0:00,36.4,-48.1, ,HU,90
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 3:00,36.55,-48.0499, ,HU,90
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 6:00,36.7,-48, ,HU,90
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 9:00,36.9,-47.9575, ,HU,87
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 12:00,37.1,-47.9, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 15:00,37.2425,-47.8074, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 18:00,37.4,-47.7, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,20/08/2000 21:00,37.6425,-47.6, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 0:00,37.9,-47.5, ,HU,85
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 3:00,38.0925,-47.3924, ,HU,82
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 6:00,38.3,-47.3, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 9:00,38.5474,-47.2717, ,HU,80
2000217N11342,2000,NA,NA,ALBERTO,21/08/2000 12:00,38.9,-47.2, ,HU,80
