Date,Time,ID,cluster_center_x,cluster_center_y
2021-08-02,10:00:00,4,384.9166666666667,201.96666666666667
2021-08-02,11:00:00,3,126.54135338345864,111.45864661654136
2021-08-02,13:00:00,0,273.9407008086253,3.2318059299191373
2021-08-02,13:00:00,12,91.54117647058824,169.21176470588236
2021-08-02,14:00:00,0,274.9822695035461,3.5921985815602837
2021-08-02,14:00:00,3,119.4609375,111.6640625
2021-08-02,15:00:00,0,275.6222222222222,1.9703703703703703
2021-08-02,16:00:00,0,259.6051948051948,5.402597402597403
2021-08-02,17:00:00,0,260.69547325102883,3.8271604938271606
2021-08-02,18:00:00,0,256.95594713656385,5.220264317180617
2021-08-02,19:00:00,3,103.109375,97.0625
2021-08-02,20:00:00,0,263.53745928338765,5.977198697068404
2021-08-02,21:00:00,0,263.6992287917738,4.596401028277635
